Period,Pressure,Speed,Temperature,Sound,Vibration
10753,105.92,95.86,89.8,75.64,164.28
10754,106.65,95.81,89.81,78.09,166.28
10755,107.29,95.68,89.86,79.02,167.08
10756,107.86,95.38,90.47,80.48,167.23
10757,108.13,95.28,90.85,80.81,169.04
10758,108.21,95,90.96,81.91,170.01
10759,108.31,94.51,91.86,82.02,172.25
10760,100,100,80,60,120
10761,101.07,99.83,81.41,60.09,120.53
10762,101.36,99.35,82.09,61.99,120.66
10763,101.38,99.34,82.22,64.18,121.44
10764,102,99.31,82.27,66.17,121.8
10765,102.47,98.94,82.28,68.31,122.7
10766,102.48,98.79,82.54,70.02,126.34
10767,102.56,98.46,82.66,70.65,129.94
10768,102.97,98.28,82.69,72.08,133.02
10769,103.2,98.11,82.82,73.46,134.05
10770,103.29,97.87,83.05,75.01,134.28
10771,103.63,97.34,83.48,76.45,136.22
10772,103.94,97.26,83.68,79.21,140.77
10773,103.95,97.23,83.72,81.21,143.1
10774,104.08,97.13,84.22,83.05,148.14
10775,104.11,97.04,84.46,84.11,153.15
10776,104.2,96.98,84.81,84.77,156.73
10777,104.33,96.54,85.59,85.12,157.27
10778,104.73,96.17,86.02,87.67,157.93
10779,104.9,96.16,87.13,88.03,160.92
10780,104.95,95.96,88.94,88.24,162.39
10781,105.27,95.61,89,90.52,172.02
10782,105.56,95.15,90.23,90.69,172.49
10783,105.6,94.75,91.47,90.83,173.18
10784,100,100,80,60,120
10785,101.38,99.64,80.25,61.1,121.46
10786,102.08,99.54,80.88,62.26,123.02
10787,102.1,99.53,81.59,62.98,127.55
10788,102.17,99.44,83.06,63.91,131.37
10789,102.37,99.4,85.29,63.96,133.15
10790,102.52,99.21,85.68,67.84,138.23
10791,102.67,99.06,86.04,67.93,138.29
10792,102.85,99.06,87.29,70,138.41
10793,102.95,98.63,87.93,71.63,140.05
10794,103.31,98.14,88.09,71.73,140.45
10795,103.46,97.95,88.4,72.06,140.86
10796,103.64,97.65,89,73.15,146.13
10797,103.89,97.46,89.28,73.31,155.47
10798,104.19,96.8,90.26,73.48,166.11
10799,104.38,96.71,90.45,76.76,167.1
10800,104.67,96.61,91.4,76.96,172.51
10801,104.78,96.45,91.5,77.58,173.11
10802,105.73,96.33,92.56,79.87,173.72
10803,105.9,96.17,92.66,80.6,174.32
10804,106.27,95.73,93,80.76,175.39
10805,106.37,95.25,93.15,81.1,175.4
10806,106.45,95.16,94.37,81.71,175.5
10807,106.57,94.88,94.62,83.2,178.67
10808,100,100,80,60,120
10809,100.27,99.86,81.51,60.56,120.48
10810,100.4,99.49,81.72,61.08,123.5
10811,101.15,99.38,81.93,61.44,127.09
10812,101.55,99.14,82.37,61.8,133.07
10813,101.77,98.94,83.05,62.05,136.51
10814,101.98,98.57,83.15,62.09,136.68
10815,102.38,98.53,84.37,62.59,138.75
10816,102.41,97.55,84.95,62.71,141.53
10817,102.51,97.15,85.19,63.24,141.84
10818,102.58,96.8,85.93,64.12,143.43
10819,103.16,96.55,86.14,65.59,143.56
10820,103.68,96.49,86.35,66.85,144.63
10821,104.15,96.27,86.48,67.38,149.78
10822,104.78,96.13,86.6,70.76,150.38
10823,105.45,95.78,87.55,70.9,150.76
10824,105.94,95.19,87.6,71.8,156.71
10825,106.52,95.06,87.71,71.81,159.37
10826,107.04,94.93,87.86,72.32,159.53
10827,100,100,80,60,120
10828,100.15,99.93,80.59,62.6,124.09
10829,100.16,99.77,80.71,62.65,124.16
10830,100.37,99.37,81.05,62.65,126.95
10831,100.41,98.98,81.58,63.1,131.96
10832,100.6,98.94,81.67,63.67,132.61
10833,101.16,98.64,81.95,65.82,133.47
10834,102.4,98.38,81.97,66.52,135.26
10835,102.5,98.19,82.31,67.14,135.62
10836,102.55,98.14,83.5,70.16,141.59
10837,103.91,97.92,84.88,70.47,143.31
10838,103.94,97.64,85.01,70.7,143.79
10839,104.16,96.32,85.59,71.6,146.21
10840,104.23,95.79,85.76,72.63,148.21
10841,104.26,95.73,86.57,72.75,149.5
10842,104.37,95.67,86.81,73.75,154.36
10843,105.14,95.07,88.65,74.76,155.56
10844,105.31,94.92,89.7,76.85,155.82
10845,100,100,80,60,120
10846,100.33,99.35,80.28,60.75,120.09
10847,100.44,99.07,80.67,60.78,122.41
10848,100.78,99.03,81.31,61.86,126.46
10849,102.41,98.89,81.82,62.28,128.21
10850,103.34,98.8,82.72,65.13,129.74
10851,103.54,98.74,82.99,65.77,133.36
10852,103.92,98.44,83.45,65.78,134.12
10853,104.79,97.91,84.39,68.38,135.3
10854,100,100,80,60,120
10855,100.14,99.68,80.22,60.34,120.95
10856,100.28,99.34,80.91,60.78,121.71
10857,100.65,99.33,81.34,60.92,123.88
10858,100.67,98.93,83.23,62.42,125.21
10859,101.44,98.61,83.55,62.93,126.55
10860,101.47,98.46,83.56,63.1,132.24
10861,101.85,98.38,83.69,64.3,133.84
10862,102.13,98.3,83.76,64.67,136.19
10863,102.41,98.29,84,64.72,136.44
10864,103.01,97.99,84.15,65.48,140.73
